DAILY_STRESS,AGE,GENDER,FRUITS_VEGGIES,PLACES_VISITED,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,PERSONAL_AWARDS,TIME_FOR_PASSION,DAILY_MEDITATION,CORE_CIRCLE,SUFFICIENT_INCOME
0,0,0,2.972972972972973,5.013513513513513,4.54054054054054,8.14864864864865,4.405405405405405,1.837837837837838,1.2432432432432432,6.0,3.891891891891892,6.702702702702703,5.013513513513513,7.675675675675675,2.324324324324324,1.7162162162162162,5.094594594594595,4.945945945945946,7.243243243243243,6.364864864864865,1.7162162162162162
0,0,1,3.4347826086956523,5.478260869565218,4.913043478260869,7.130434782608695,4.869565217391305,2.217391304347826,1.391304347826087,5.434782608695652,4.086956521739131,6.565217391304348,4.3478260869565215,7.565217391304348,2.652173913043478,2.1739130434782608,4.739130434782608,4.826086956521739,7.0,5.739130434782608,1.7826086956521738
0,1,0,2.936936936936937,5.243243243243243,4.846846846846847,6.153153153153153,4.225225225225225,1.7657657657657657,1.2612612612612613,6.63963963963964,3.855855855855856,6.216216216216216,4.441441441441442,7.531531531531532,2.5765765765765765,0.9369369369369369,5.2792792792792795,4.054054054054054,8.072072072072071,5.117117117117117,1.7297297297297298
0,1,1,3.1538461538461537,6.584615384615384,6.323076923076923,6.6461538461538465,4.476923076923077,3.0923076923076924,1.2615384615384615,6.507692307692308,3.646153846153846,6.107692307692307,3.923076923076923,7.8,1.6153846153846154,1.523076923076923,6.0,4.615384615384615,7.323076923076923,6.476923076923077,1.7384615384615385
0,2,0,3.0606060606060606,6.363636363636363,6.015151515151516,6.454545454545454,5.136363636363637,2.409090909090909,1.2878787878787878,6.515151515151516,4.212121212121212,6.863636363636363,5.984848484848484,7.378787878787879,1.9090909090909092,1.696969696969697,6.46969696969697,5.409090909090909,8.181818181818182,6.393939393939394,1.8484848484848484
0,2,1,3.2131147540983607,6.180327868852459,6.442622950819672,6.098360655737705,4.557377049180328,3.540983606557377,1.3442622950819672,6.950819672131147,3.8688524590163933,6.081967213114754,3.737704918032787,7.459016393442623,1.360655737704918,1.7868852459016393,6.557377049180328,4.180327868852459,7.868852459016393,6.426229508196721,1.8688524590163935
0,3,0,3.573529411764706,5.323529411764706,5.588235294117647,5.147058823529412,3.985294117647059,3.1470588235294117,1.5,6.470588235294118,3.0441176470588234,5.926470588235294,4.205882352941177,7.235294117647059,0.9852941176470589,1.25,6.911764705882353,3.661764705882353,8.25,4.426470588235294,1.8676470588235294
0,3,1,3.5,6.287234042553192,6.648936170212766,5.223404255319149,4.042553191489362,4.074468085106383,1.5319148936170213,6.574468085106383,3.9893617021276597,5.680851063829787,4.276595744680851,7.148936170212766,0.7553191489361702,1.1914893617021276,6.531914893617022,3.872340425531915,8.117021276595745,5.946808510638298,1.8829787234042554
1,0,0,2.4367088607594938,4.670886075949367,3.8607594936708862,7.006329113924051,4.234177215189874,1.8734177215189873,1.2025316455696202,5.265822784810126,3.569620253164557,5.9113924050632916,3.9177215189873418,7.367088607594937,2.1645569620253164,2.170886075949367,4.7974683544303796,3.7974683544303796,6.449367088607595,5.582278481012659,1.7088607594936709
1,0,1,2.849056603773585,5.830188679245283,5.415094339622642,7.7075471698113205,4.830188679245283,2.509433962264151,1.1320754716981132,6.037735849056604,3.669811320754717,6.037735849056604,4.2075471698113205,7.471698113207547,1.9150943396226414,2.6226415094339623,5.962264150943396,3.481132075471698,6.179245283018868,6.452830188679245,1.6981132075471699
1,1,0,2.6435406698564594,5.42822966507177,4.885167464114833,5.784688995215311,3.937799043062201,2.0813397129186604,1.270334928229665,5.631578947368421,3.236842105263158,5.5047846889952154,3.72488038277512,7.133971291866029,2.38755980861244,1.6267942583732058,5.0669856459330145,3.648325358851675,7.038277511961723,5.2105263157894735,1.7535885167464116
1,1,1,2.9612903225806453,6.606451612903226,5.412903225806452,6.483870967741935,4.335483870967742,2.7580645161290325,1.2806451612903227,6.248387096774193,3.4387096774193546,5.667741935483871,4.003225806451613,7.332258064516129,2.0709677419354837,2.0064516129032257,5.661290322580645,3.6516129032258067,6.541935483870968,6.248387096774193,1.7870967741935484
1,2,0,2.875,5.815,5.905,6.435,4.46,2.85,1.44,6.005,3.395,5.84,4.575,7.165,1.745,2.165,6.54,3.815,7.46,5.52,1.835
1,2,1,3.2968197879858656,6.074204946996466,6.438162544169611,6.5265017667844525,4.282685512367491,3.1837455830388692,1.3604240282685511,6.551236749116608,3.706713780918728,5.985865724381625,3.9858657243816253,7.289752650176679,1.5830388692579505,2.021201413427562,6.031802120141343,3.8162544169611308,6.80565371024735,6.4416961130742045,1.8374558303886925
1,3,0,3.1666666666666665,5.222222222222222,5.861111111111111,5.643518518518518,4.5,3.314814814814815,1.4722222222222223,6.328703703703703,3.2824074074074074,5.828703703703703,4.810185185185185,6.9907407407407405,2.199074074074074,1.4259259259259258,6.347222222222222,3.9768518518518516,7.777777777777778,5.083333333333333,1.8842592592592593
1,3,1,3.6547231270358305,6.022801302931596,7.071661237785016,5.8762214983713354,4.234527687296417,3.6644951140065145,1.4267100977198697,7.022801302931596,3.781758957654723,5.905537459283388,4.93485342019544,7.315960912052117,1.3648208469055374,1.201954397394137,6.348534201954397,4.006514657980456,7.700325732899023,6.6612377850162865,1.9022801302931596
2,0,0,2.605095541401274,4.955414012738854,4.426751592356688,7.382165605095541,4.54140127388535,2.050955414012739,1.2101910828025477,5.707006369426751,3.6496815286624202,6.312101910828026,4.535031847133758,7.261146496815287,3.070063694267516,2.4203821656050954,4.980891719745223,3.7579617834394905,6.560509554140127,5.974522292993631,1.6751592356687899
2,0,1,2.914473684210526,5.802631578947368,5.026315789473684,7.657894736842105,4.8355263157894735,2.414473684210526,1.25,5.868421052631579,3.5,5.5855263157894735,4.157894736842105,7.421052631578948,2.7565789473684212,2.901315789473684,5.453947368421052,3.2039473684210527,6.565789473684211,6.256578947368421,1.7039473684210527
2,1,0,2.6619144602851326,5.64969450101833,4.780040733197556,6.09979633401222,4.081466395112017,2.213849287169043,1.264765784114053,5.625254582484725,3.246435845213849,6.008146639511201,3.6680244399185336,7.10183299389002,2.855397148676171,2.380855397148676,5.346232179226069,3.5682281059063135,6.655804480651732,5.274949083503055,1.7189409368635438
2,1,1,2.9948453608247423,6.154639175257732,5.646048109965636,6.68213058419244,4.108247422680412,2.5378006872852232,1.3230240549828178,6.030927835051546,3.3316151202749142,5.536082474226804,3.7491408934707904,7.348797250859106,2.4381443298969074,2.470790378006873,5.687285223367698,3.6443298969072164,6.109965635738831,5.953608247422681,1.6993127147766323
2,2,0,3.035335689045936,5.720848056537102,5.65017667844523,6.964664310954063,4.381625441696113,2.7738515901060072,1.5123674911660778,5.865724381625442,3.0636042402826855,5.996466431095406,3.4452296819787986,6.886925795053004,2.2261484098939928,2.664310954063604,6.286219081272085,3.4169611307420493,6.826855123674911,5.3356890459363955,1.8268551236749118
2,2,1,3.2181818181818183,5.432323232323232,6.262626262626263,7.062626262626263,4.262626262626263,3.0727272727272728,1.393939393939394,6.288888888888889,3.3434343434343434,5.8969696969696965,4.0464646464646465,7.127272727272727,2.0727272727272728,2.985858585858586,5.8404040404040405,3.1575757575757577,6.121212121212121,5.846464646464646,1.812121212121212
2,3,0,3.354285714285714,5.217142857142857,6.405714285714286,6.268571428571429,4.605714285714286,3.1942857142857144,1.4514285714285715,6.1257142857142854,3.5085714285714285,5.8742857142857146,4.742857142857143,7.0285714285714285,2.4857142857142858,1.96,6.954285714285715,3.857142857142857,7.4,5.382857142857143,1.8857142857142857
2,3,1,3.443526170798898,5.526170798898072,6.435261707988981,6.132231404958677,4.046831955922865,3.534435261707989,1.5316804407713498,6.341597796143251,3.283746556473829,5.523415977961433,4.327823691460055,6.997245179063361,2.005509641873278,1.7685950413223142,6.132231404958677,3.443526170798898,7.038567493112947,5.8319559228650135,1.881542699724518
3,0,0,2.5323741007194243,4.748201438848921,4.410071942446043,7.0503597122302155,4.489208633093525,1.9280575539568345,1.2374100719424461,5.287769784172662,3.7194244604316546,6.474820143884892,4.100719424460432,6.805755395683454,2.697841726618705,2.971223021582734,5.158273381294964,3.287769784172662,6.172661870503597,5.100719424460432,1.618705035971223
3,0,1,2.770909090909091,5.494545454545454,5.567272727272727,7.861818181818182,4.618181818181818,2.2836363636363637,1.1854545454545455,5.887272727272728,3.309090909090909,5.996363636363636,3.767272727272727,7.287272727272727,3.2145454545454544,3.2581818181818183,5.421818181818182,3.207272727272727,5.658181818181818,6.2290909090909095,1.6945454545454546
3,1,0,2.5017241379310344,5.444827586206896,4.5327586206896555,5.979310344827586,3.543103448275862,2.127586206896552,1.3551724137931034,5.132758620689655,3.0206896551724136,5.794827586206897,3.682758620689655,6.993103448275862,2.836206896551724,3.0413793103448277,5.255172413793104,3.0724137931034483,6.739655172413793,4.9189655172413795,1.693103448275862
3,1,1,2.864345738295318,5.882352941176471,5.631452581032413,6.600240096038416,4.140456182472989,2.5858343337334935,1.3769507803121248,5.797118847539015,3.1944777911164466,5.559423769507803,3.375750300120048,7.153661464585834,2.9951980792316926,3.076830732292917,5.6074429771908765,3.476590636254502,5.723889555822329,5.7034813925570225,1.6422569027611045
